11:39:43.879 [ATL-Logging-Thread] INFO  - Organising filesystem

11:39:43.918 [ATL-Logging-Thread] INFO  - ATLauncher Version: 3.4.20.2

11:39:43.922 [ATL-Logging-Thread] INFO  - App Arguments: ["--working-dir","**USERSDIR**"]

11:39:43.924 [ATL-Logging-Thread] INFO  - JVM Arguments: []

11:39:43.925 [ATL-Logging-Thread] INFO  - Java Version: Java 19 (19.0.2)

11:39:43.929 [ATL-Logging-Thread] INFO  - Java Path: /nix/store/gv9dfp1jhzi5kbd0mmwk19qrj8wdqji2-openjdk-19.0.2+7/lib/openjdk

11:39:43.931 [ATL-Logging-Thread] INFO  - 64 Bit Java: true

11:39:43.932 [ATL-Logging-Thread] INFO  - RAM Available: 31854MB

11:39:43.934 [ATL-Logging-Thread] INFO  - Launcher Directory: **USERSDIR**

11:39:43.955 [ATL-Logging-Thread] INFO  - GPU: unknown (unknown) unknown 0MB VRAM

11:39:44.024 [ATL-Logging-Thread] INFO  - CPU: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz 8 cores/16 threads

11:39:44.025 [ATL-Logging-Thread] INFO  - Operating System: NixOS (23.11 (Tapir) build 6.1.34)

11:39:44.026 [ATL-Logging-Thread] INFO  - Bitness: 64

11:39:44.027 [ATL-Logging-Thread] INFO  - Uptime: 5413

11:39:44.028 [ATL-Logging-Thread] INFO  - Manufacturer: GNU/Linux

11:39:44.031 [ATL-Logging-Thread] INFO  - Showing splash screen and loading everything

11:39:44.032 [ATL-Logging-Thread] INFO  - Checking for updated files!

11:39:44.511 [ATL-Logging-Thread] INFO  - Downloading Launcher Update

11:39:44.990 [ATL-Logging-Thread] INFO  - Running launcher update with command [/nix/store/gv9dfp1jhzi5kbd0mmwk19qrj8wdqji2-openjdk-19.0.2+7/lib/openjdk/bin/java, -cp, **USERSDIR**/temp/ATLauncher.jar, com.atlauncher.Update, /nix/store/x9adw2ly7ajd8g7r0mnr323x8z9rlril-atlauncher-3.4.20.2/share/java/ATLauncher.jar, **USERSDIR**/temp/ATLauncher.jar, --working-dir, **USERSDIR**]

