11:39:13.357 [ATL-Logging-Thread] INFO  - Organising filesystem

11:39:13.421 [ATL-Logging-Thread] INFO  - ATLauncher Version: 3.4.20.2

11:39:13.423 [ATL-Logging-Thread] INFO  - App Arguments: ["--working-dir","**USERSDIR**"]

11:39:13.425 [ATL-Logging-Thread] INFO  - JVM Arguments: []

11:39:13.426 [ATL-Logging-Thread] INFO  - Java Version: Java 19 (19.0.2)

11:39:13.429 [ATL-Logging-Thread] INFO  - Java Path: /nix/store/gv9dfp1jhzi5kbd0mmwk19qrj8wdqji2-openjdk-19.0.2+7/lib/openjdk

11:39:13.432 [ATL-Logging-Thread] INFO  - 64 Bit Java: true

11:39:13.432 [ATL-Logging-Thread] INFO  - RAM Available: 31854MB

11:39:13.434 [ATL-Logging-Thread] INFO  - Launcher Directory: **USERSDIR**

11:39:13.453 [ATL-Logging-Thread] INFO  - GPU: unknown (unknown) unknown 0MB VRAM

11:39:13.518 [ATL-Logging-Thread] INFO  - CPU: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz 8 cores/16 threads

11:39:13.520 [ATL-Logging-Thread] INFO  - Operating System: NixOS (23.11 (Tapir) build 6.1.34)

11:39:13.521 [ATL-Logging-Thread] INFO  - Bitness: 64

11:39:13.522 [ATL-Logging-Thread] INFO  - Uptime: 5382

11:39:13.522 [ATL-Logging-Thread] INFO  - Manufacturer: GNU/Linux

11:39:13.526 [ATL-Logging-Thread] INFO  - Showing splash screen and loading everything

11:39:13.527 [ATL-Logging-Thread] INFO  - Checking for updated files!

11:39:14.901 [ATL-Logging-Thread] INFO  - Finished downloading updated files!

11:39:14.903 [ATL-Logging-Thread] INFO  - Downloading Launcher Update

11:39:15.444 [ATL-Logging-Thread] INFO  - Running launcher update with command [/nix/store/gv9dfp1jhzi5kbd0mmwk19qrj8wdqji2-openjdk-19.0.2+7/lib/openjdk/bin/java, -cp, **USERSDIR**/temp/ATLauncher.jar, com.atlauncher.Update, /nix/store/x9adw2ly7ajd8g7r0mnr323x8z9rlril-atlauncher-3.4.20.2/share/java/ATLauncher.jar, **USERSDIR**/temp/ATLauncher.jar, --working-dir, **USERSDIR**]

